Benchmark;Variation in run 1 (%);Variation in run 2 (%);run to run variation (%)
collection.StreamBenchmark.integerStreamSumParallel;0.82;0.57;2.81
collection.StreamBenchmark.intFor;0.63;0.81;0.05
collection.StreamBenchmark.intFor;0.64;0.19;2.50
collection.StreamBenchmark.intFor;0.24;0.24;1.59
collection.StreamBenchmark.intFor;0.02;0.02;1.31
collection.StreamBenchmark.intFor;0.04;0.05;0.45
collection.StreamBenchmark.intFor;0.02;0.02;0.02
collection.StreamBenchmark.intFor;0.35;0.59;0.49
collection.StreamBenchmark.intFor;0.16;0.17;0.03
collection.StreamBenchmark.intStream;0.26;0.26;0.43
collection.StreamBenchmark.intStream;0.45;0.32;1.07
collection.StreamBenchmark.intStream;0.13;0.14;2.00
collection.StreamBenchmark.intStream;0.10;0.07;8.23
collection.StreamBenchmark.intStream;0.05;0.06;0.14
collection.StreamBenchmark.intStream;8.12;9.05;0.60
collection.StreamBenchmark.intStream;0.07;0.07;0.27
collection.StreamBenchmark.intStream;0.16;0.13;0.08
collection.StreamBenchmark.intStreamParallel;0.31;0.27;0.14
collection.StreamBenchmark.intStreamParallel;0.51;0.63;0.08
collection.StreamBenchmark.intStreamParallel;0.35;0.35;4.24
collection.StreamBenchmark.intStreamParallel;0.20;0.14;0.93
collection.StreamBenchmark.intStreamParallel;0.27;0.29;6.85
collection.StreamBenchmark.intStreamParallel;0.29;0.32;3.08
collection.StreamBenchmark.intStreamParallel;2.08;1.96;1.14
collection.StreamBenchmark.intStreamParallel;0.87;1.19;3.59
concurrent.ConcCollectionBenchmark.ArrayBlockingQueueAdd;0.81;0.65;0.16
concurrent.ConcCollectionBenchmark.ArrayBlockingQueueGet;1.26;2.56;0.80
concurrent.ConcCollectionBenchmark.ArrayBlockingQueueRemove;0.19;0.23;0.00
concurrent.ConcCollectionBenchmark.ArrayListAdd;0.12;0.18;0.08
concurrent.ConcCollectionBenchmark.ArrayListGet;0.56;0.68;0.04
concurrent.ConcCollectionBenchmark.ArrayListRemove;5.05;2.07;0.51
concurrent.ConcCollectionBenchmark.ConcurrentHashMapAdd;0.44;0.26;0.01
concurrent.ConcCollectionBenchmark.ConcurrentHashMapGet;1.21;0.70;0.24
concurrent.ConcCollectionBenchmark.ConcurrentHashMapRemove;0.09;4.44;0.89
concurrent.ConcCollectionBenchmark.ConcurrentLinkedDequeAdd;35.25;33.28;5.66
concurrent.ConcCollectionBenchmark.ConcurrentLinkedDequeGet;20.05;29.18;1.33
concurrent.ConcCollectionBenchmark.ConcurrentLinkedDequeRemove;0.02;0.90;2.80
concurrent.ConcCollectionBenchmark.ConcurrentLinkedQueueAdd;11.60;20.28;7.54
concurrent.ConcCollectionBenchmark.ConcurrentLinkedQueueGet;12.41;33.21;3.83
concurrent.ConcCollectionBenchmark.ConcurrentLinkedQueueRemove;0.24;0.01;0.04
concurrent.ConcCollectionBenchmark.ConcurrentSkipListMapAdd;2.04;2.13;0.21
concurrent.ConcCollectionBenchmark.ConcurrentSkipListMapRemove;4.70;4.96;2.95
concurrent.ConcCollectionBenchmark.ConcurrentSkipListSetAdd;1.52;2.21;2.93
concurrent.ConcCollectionBenchmark.ConcurrentSkipListSetGet;0.75;1.30;0.44
concurrent.ConcCollectionBenchmark.ConcurrentSkipLPistSetRemove;3.39;3.00;0.75
